Song No.,1.Meter,2.No of beats,3.Beat sub-division ,4. No. of sub-beats,5.Syncopation,6.Motivic redundancy ,7.Durational variability ,8.Tonality,9. Mode,10.No. of scale degrees ,11.Hemitonicity ,12.Maximum interval size ,13.Melodic range ,14.Melodic contour ,15.Melisma ,16.Vocables,17. Number of vocal parts ,18.Rhythmic texture ,19.Harmonic interval ,20.Relative contour ,21.Phrase repetition ,22.Phrase length,23.Phrase symmetry,24.Solo/group arrangement ,25.Responsorial relationship ,26. Phrase overlap,(Cantometrics#)5. Tonal blend,6. Rhythmic blend,23. Embellishment,24. Tempo,25. Volume,26. Rubato,28. Glissando,30. Tremolo,31. Glottal shake,32. Register,33.  Vocal width,34. Nasality,35. Rasp,36. Accent,37. Enunciation,CantoCore ID No.,Other comment,Population Name,Recording source,Album Name,Track No.,Song name,Cantogroup,MDS coordinate dimension 1,MDS coordinate dimension 2
522,d,a,c,a,0,1,0,e,a,0.5,0,0.5,0,fa,0,0,0,,,,0.5,0,0,a,a,,,,0.75,0.4,0.5,0.666666667,0.666666667,1,1,0.5,0.333333333,0.5,0.5,0.5,0.5,2038,Track 33,Buryat,Lecomte (1995-2012),"Siberie 9: Buryatia: Rites, celebrations and dances around Lake Baikal",33,Roza Bal'burovna Budeeva (A musical afternoon),yellow,-0.112864365,0.029697228
523,a,,,,,0.5,0.5,e,d,0.5,0,0.5,0,ef,0,0,0,,,,0.5,0,0.5,a,a,,,,0.5,,0.5,,0.666666667,1,1,0.5,0.333333333,0.5,0.5,0.75,0.5,1616,,Buryat,Lecomte (1995-2012),"Siberie 9: Buryatia: Rites, celebrations and dances around Lake Baikal",34,Lev Prokon'evic Princeev (A musical afternoon),green,0.060944551,0.058296066
524,b,,,,,0,0.5,e,d,0.5,0,0.5,0,ef,0.5,0,0,,,,1,0.5,0,a,a,,,,0.75,0.6,0.25,0.333333333,0.666666667,1,1,0.5,0.666666667,0.5,0.75,0.5,0.25,2077,Track 35,Buryat,Lecomte (1995-2012),"Siberie 9: Buryatia: Rites, celebrations and dances around Lake Baikal",35,Anaf'ja Nikolaevan Daktaeva (A musical afternoon),green,0.062385543,0.05834008
525,ba,,,,,0.5,0.5,e,d,0.5,0,0.5,0,fe,0,0,0,,,,0.5,0,0.5,a,a,,,,0.75,0.6,0.5,0.333333333,0.666666667,1,1,0.75,0.333333333,0.75,0.5,0.5,0.25,2080,Track 36,Buryat,Lecomte (1995-2012),"Siberie 9: Buryatia: Rites, celebrations and dances around Lake Baikal",36,Feodora Afanas'evna Zalmasinova (A musical afternoon),green,0.056725439,0.076280043
526,b,,,,,0.5,0.5,e,d,0.5,0,0.5,0,ec,0,0,0,,,,0.5,0,0.5,a,a,,,,0.75,0.4,0.5,0.333333333,0.666666667,1,1,0.75,0.333333333,0.5,0.5,0.75,0.5,2072,Track 38,Buryat,Lecomte (1995-2012),"Siberie 9: Buryatia: Rites, celebrations and dances around Lake Baikal",38,Feodora Afanas'evna Zalmasinova (A musical afternoon),green,0.051924548,0.101295603
527,d,a,c,a,0,1,0.5,e,d,0.5,0,0.5,0,fe,0,0,0,,,,0,0,0,a,a,,,,0.75,0.6,0.5,0.666666667,1,1,1,0.75,0.333333333,0.5,0.5,0.5,0.5,2065,Track 39,Buryat,Lecomte (1995-2012),"Siberie 9: Buryatia: Rites, celebrations and dances around Lake Baikal",39,Roza Bal'burovna Budeeva (A musical afternoon),yellow,-0.079969174,0.020751557
528,d,a,c,a,0.5,1,0.5,e,d,1,0.5,0.5,0.5,ea,0,0.5,0.5,c,1,ca,0.5,0,1,d,b,0,1,1,1,0.6,0.5,1,1,1,1,1,0,0.25,0,0.25,0.25,2181,Dans Le Ciel Une Ñtoile,Altai,Lecomte (1995-2012),Siberie 10: The song of the Golden Mountains,1,"In the sky, there is a star",blue,-0.15614529,-0.154259858
529,ba,,,,,0.5,0.5,e,d,1,0.5,0.5,0.5,ae,0.5,0.5,0.5,b,1,a,0.5,1,0,ab,b,0.5,0.75,0.8,0.75,0.4,0.5,1,1,1,1,1,0,0.25,0,0.5,0.25,2178,Dans Le Tronc D'un Arbre Puissant,Altai,Lecomte (1995-2012),Siberie 10: The song of the Golden Mountains,2,The trunk of a powerful tree,purple,0.050318197,-0.076485792
530,db,a,c,a,0,1,0.5,e,d,1,0.5,0,0.5,ec,1,0.5,0.5,c,1,c,0.5,0.5,0,c,b,0,0.5,1,0.75,0.4,0.5,1,1,0.5,1,0.5,0,0.5,0,0.5,0.5,1610,Un Anneau D'or,Altai,Lecomte (1995-2012),Siberie 10: The song of the Golden Mountains,3,A goden ring,blue,-0.08200789,-0.170103109
531,d,a,c,a,0,1,1,e,e,1,0.5,0.5,0.5,fe,0,0,0.5,c,1,ca,0.5,0.5,0,c,b,0,1,1,1,0.4,0.5,1,1,1,1,1,0.666666667,0.5,0,0.75,0.25,2161,Pensant Aux Chemins De La Vie,Altai,Lecomte (1995-2012),Siberie 10: The song of the Golden Mountains,4,Pondering on the paths of life,blue,-0.131364515,-0.19483637
532,d,a,c,a,0,1,0.5,e,e,1,0.5,0.5,0.5,e,0.5,0.5,0.5,c,1,c,0.5,0.5,0,d,a,,1,1,1,0.6,0.5,1,1,1,1,1,0,0.5,0,0.5,0.25,2149,En Selle Sur Le Coursier Alezan,Altai,Lecomte (1995-2012),Siberie 10: The song of the Golden Mountains,5,Riding on the sorrel steed,blue,-0.141473069,-0.114752847
533,d,a,c,a,0,1,1,e,d,1,1,1,1,fe,0,1,0,,,,1,0,0,a,a,,,,1,0,1,1,1,1,1,0,0,1,1,1,0,2031,Dans Cette Berceuse,Altai,Lecomte (1995-2012),Siberie 10: The song of the Golden Mountains,6,Bai-bai-bai-bai (lullaby),red,-0.150131244,-0.105036011
534,a,,,,,0.5,1,e,d,0.5,0.5,0,0,ea,0.5,0,0,,,,0.5,0.5,0.5,a,a,,,,0.75,0.6,0.25,,0.666666667,1,1,0.25,0.333333333,0.75,0.75,0.5,0.25,2177,Partout Alentour Dans La Taâga,Altai,Lecomte (1995-2012),Siberie 10: The song of the Golden Mountains,7,All around in the taiga,green,0.106314493,0.054012602
535,d,a,c,a,0,1,0.5,e,d,1,0.5,1,0.5,ef,0,0,0,,,,0.5,0,0,a,a,,,,0.75,0.6,0.5,1,1,1,1,0.5,0.666666667,0.75,0.5,0.5,0,2101,Sur Le Champ Baign_ Par La Lumière Du Soleil,Altai,Lecomte (1995-2012),Siberie 10: The song of the Golden Mountains,8,On the field bathed in sunshine,yellow,-0.110728548,-0.049103106
536,b,,,,,0.5,0.5,e,d,0.5,0.5,0,0,ea,0.5,0,0,,,,0.5,0.5,0.5,a,b,0,,,0.5,0.6,0.5,0.666666667,0.666666667,1,1,0.5,0.333333333,0.75,0.5,0.5,0.25,2166,Nos Chants Sont Comme Le Vent,Altai,Lecomte (1995-2012),Siberie 10: The song of the Golden Mountains,9,Our songs are like,green,0.092279217,0.010757523
537,d,a,c,a,0,1,0.5,e,e,0.5,0.5,0,0,f,0.5,0,0,,,,1,0.5,0,d,a,,0.5,0.8,0.75,0.4,0.5,1,1,1,1,0.5,0.333333333,0.75,0.75,0.5,0.25,2010,Oâym Oâym Oâym,Altai,Lecomte (1995-2012),Siberie 10: The song of the Golden Mountains,10,Oiym-oiym-oioiym,red,-0.144447989,-0.083372495
538,b,,,,,1,0.5,e,e,0.5,0.5,0.5,0,e,0.5,0,0,,,,1,0,0,d,a,,0.5,0.8,1,0.6,0.5,0.666666667,1,1,1,0.25,0.333333333,0.5,0.75,0.5,0.25,2024,Tant Que Nous N'aurons Pas Pi_tin_,Altai,Lecomte (1995-2012),Siberie 10: The song of the Golden Mountains,11,Until we have stamped all over the field,yellow,-0.071144229,-0.021242418
539,d,a,c,a,0,1,0.5,e,a,0.5,1,0.5,0.5,ac,0.5,0.5,0,,,,1,0,0,d,a,,0.75,0.8,1,0.4,0.5,0.666666667,1,1,1,0.5,0.333333333,0.75,0.75,0.5,0.25,2193,Sur l'Altaâ,Altai,Lecomte (1995-2012),Siberie 10: The song of the Golden Mountains,12,On the Altai's white summits,red,-0.155310376,-0.082666897
540,bd,a,c,a,0,1,0,e,d,0.5,0,0.5,0,ef,0,0,0,,,,1,0,0,a,a,,,,0.75,0.6,0.5,0.666666667,1,1,0.5,0.5,0.333333333,0.25,0.5,0.25,0.25,2174,Les Champs Recouverts De Verdure,Altai,Lecomte (1995-2012),Siberie 10: The song of the Golden Mountains,13,The fields covered with greenery,yellow,-0.101049816,0.010736157
541,ab,,,,,0,1,e,e,0.5,0,0.5,0.5,fe,1,1,0,,,,0.5,1,0.5,a,a,,,,0.5,0.6,0.5,0.333333333,1,1,0.5,1,0,0.25,0.25,0.5,0.75,2056,Throat singing w  fiddle (Dans Les Siècles Pass_s,Altai,Lecomte (1995-2012),Siberie 10: The song of the Golden Mountains,15,"In past centuries, our feet in the stirrups",purple,0.173907441,-0.011239221
542,bd,a,c,a,0,1,1,e,d,1,0.5,0.5,0.5,fb,0,0,0,,,,0.5,0.5,0,a,a,,,,1,0.6,0.5,0.333333333,1,1,1,0.25,0.666666667,0.75,1,0.5,0,2189,Un Bruit De Coeur,Altai,Lecomte (1995-2012),Siberie 10: The song of the Golden Mountains,16,The sound of a heart,yellow,-0.042406476,-0.03685147
543,d,a,c,a,0,1,1,e,e,1,0,1,0,ef,0,1,0,,,,1,0,0,a,a,,,,1,1,1,1,1,1,1,1,0,0,0,0,1,2028,Throat singing w fiddle (Du Jeune Pin A Ñt_ Fait Mon Topsuur,Altai,Lecomte (1995-2012),Siberie 10: The song of the Golden Mountains,17,From the young pine my topsuur was cut,red,-0.199240742,-0.007977195
544,db,a,c,a,0,1,1,e,d,1,0.5,0.5,1,ea,0.5,0,0,,,,0.5,0.5,0,a,a,,,,1,0.6,0.5,1,1,1,1,1,0,0.5,0,0.5,0,2212,S'est Bris_e La Branche Au Vent,Altai,Lecomte (1995-2012),Siberie 10: The song of the Golden Mountains,18,The branch broke from the wind,blue,-0.043672969,-0.057550716
545,b,,,,,0.5,0,e,d,0.5,0.5,0,0,ea,0,0,0,,,,0.5,1,0.5,d,a,,0.75,0.8,0.75,0.4,0.5,1,0.666666667,1,1,0.5,0.666666667,0.75,0.75,0.75,0.5,2167,Sur L'herbe Blanche,Altai,Lecomte (1995-2012),Siberie 10: The song of the Golden Mountains,21,On the white grass the small white flower,green,0.012390839,0.058522283
546,bd,a,c,a,0,0.5,0,e,a,0,0,0.5,0,ae,0,0,0,,,,1,1,0,d,a,,0.75,1,0.75,0.6,0.25,1,0.666666667,1,1,0.5,0.666666667,0.75,0.75,0.5,0.25,2152,Comme La Tête D'un Cheval,Altai,Lecomte (1995-2012),Siberie 10: The song of the Golden Mountains,22,"Like the head of a horse, the golden lake",yellow,-0.117314385,0.013904666
547,ba,,,,,0.5,0.5,e,e,0,0,0.5,0,e,0.5,0,0,,,,0.5,0,0.5,ab,b,0,0.75,0.8,0.5,0.4,0.5,0.333333333,0.666666667,1,1,0.25,0.333333333,0.5,0.5,0.75,0.5,2044,De La Gorge L'air Ne Sort Pas,Altai,Lecomte (1995-2012),Siberie 10: The song of the Golden Mountains,23,From the throat no air comes out,purple,0.084326179,-0.010585567
548,b,,,,,1,0,e,d,0,0,0,0,ae,0,0.5,0,,,,1,0.5,0,d,a,,0.5,0.6,0.75,0.4,0.5,1,0.333333333,1,1,0.75,0.666666667,0.75,0.5,0.5,0.5,1604,Le D_but De Nos Dirigeants,Altai,Lecomte (1995-2012),Siberie 10: The song of the Golden Mountains,24,Our leaders' opening,yellow,-0.102313887,0.124848893
549,b,,,,,0.5,0.5,e,e,0.5,0.5,0,0,ea,0,0,0,,,,1,1,0,a,a,,,,0.75,0.4,0.5,0.666666667,0.666666667,1,1,0.5,0.333333333,0.5,0.5,0.5,0.25,2218,Auprès De La Porte Se Tient La Pr_f_r_e,Altai,Lecomte (1995-2012),Siberie 10: The song of the Golden Mountains,25,Near the gate stands the favourite,green,0.010446159,0.078456812
550,b,,,,,0.5,0.5,e,a,0,0,0.5,0,ea,0,0,0,,,,1,0,0,a,a,,,,0.75,0.4,0.5,0.333333333,1,1,1,0.25,0.333333333,0.5,0.5,0.75,0.25,2062,La Travers_e Houleuse De La Rivière,Altai,Lecomte (1995-2012),Siberie 10: The song of the Golden Mountains,26,Crossing the stormy river,green,-0.002019982,0.111609694
551,d,c,c,a,0,0.5,0.5,e,d,0.5,0.5,0.5,0.5,e,0,0,0,,,,1,0.5,0,a,a,,,,0.75,0.6,0.5,0.666666667,1,1,1,0.25,0.666666667,0.75,0.75,0.5,0.25,2143,Les Rayons Du Soleil Levant,Altai,Lecomte (1995-2012),Siberie 10: The song of the Golden Mountains,27,The rays of the rising sun,yellow,-0.038966561,-0.020397424
552,ab,,,,,0.5,1,ce,e,0.5,0,0.5,0,fe,0.5,0,0,,,,1,0.5,0.5,a,a,,,,0.5,0.6,0.5,0.333333333,1,1,1,0.25,0.333333333,0.5,0.75,0.5,0.25,2136,Sur Le Champ Nu Il Marchait,Altai,Lecomte (1995-2012),Siberie 10: The song of the Golden Mountains,28,On the bare field he was walking,purple,0.105459866,0.009771664
553,d,a,c,a,0,1,0,e,a,0.5,0,0.5,0,ad,0,0.5,0,,,,0.5,1,0,a,a,,,,1,0.8,0.5,1,1,1,1,1,0,0.25,0,0.25,0.25,2125,"Du Soleil, De La Lune Nous Est Venu Le Feu",Altai,Lecomte (1995-2012),Siberie 10: The song of the Golden Mountains,29,"From the sun and the moon, the fire has come",yellow,-0.128343388,0.003490664
554,db,,,,,0.5,0.5,e,d,0.5,1,0.5,0,cf,0.5,0,0,,,,0.5,0.5,0.5,a,a,,,,0.5,0.6,0.75,0.666666667,1,1,1,0.5,0.666666667,0.75,0.75,0.75,0.25,2135,Track 01,Khanty,Lecomte (1995-2012),"Siberie 11: Bear songs, harps and lyres from the Banks of the Ob River",1,Song for the Celebration of the Bear,green,0.067350193,0.009062448
555,d,a,c,b,0,1,0,e,d,0.5,0,0.5,0.5,fe,0,0,0,,,,1,0,0,a,a,,,,0.75,0.6,0.75,0.666666667,0.666666667,1,1,0.75,0,0.25,0.25,0.5,0.5,2162,Track 02,Khanty,Lecomte (1995-2012),"Siberie 11: Bear songs, harps and lyres from the Banks of the Ob River",2,A song for the bear,yellow,-0.099514771,0.001896012
556,db,a,b,,,1,0.5,e,a,0.5,0,0.5,0,af,0,0,0,,,,1,0,0,a,a,,,,0.75,0.6,0.5,0.666666667,1,0.5,1,0.25,0.666666667,0.75,0.75,0.5,0.25,2105,Track 07,Khanty,Lecomte (1995-2012),"Siberie 11: Bear songs, harps and lyres from the Banks of the Ob River",7,"""Var'uhan ne an'hem"" - Var'uhan's daughter-in-law",yellow,-0.069843003,0.058793168
557,b,,,,,1,0.5,e,d,0,0,0,0,ea,0,0,0,,,,1,0,0,a,a,,,,1,0.4,0.5,0.333333333,0.666666667,0.5,1,0.25,0.666666667,0.75,0.75,0.75,0.25,2116,Track 08,Khanty,Lecomte (1995-2012),"Siberie 11: Bear songs, harps and lyres from the Banks of the Ob River",8,"""Pupi puhia""",green,-0.03722757,0.167813026
558,d,a,c,a,0,1,0,e,d,1,0.5,0.5,0.5,fe,0,0,0,,,,0.5,0,0,a,a,,,,1,0.6,0.5,1,1,1,1,0.25,0.333333333,0.75,0.75,0.5,0.25,2137,Track 10,Khanty,Lecomte (1995-2012),"Siberie 11: Bear songs, harps and lyres from the Banks of the Ob River",10,"""Akem ar""",yellow,-0.12502076,-0.044239792
559,d,a,c,a,0,1,0.5,e,d,1,0.5,0.5,0.5,e,0,0,0,,,,1,0.5,0,a,a,,,,1,0.6,0.5,1,1,1,1,0.5,0.666666667,0.75,0.75,0.25,0,2095,Track 11,Khanty,Lecomte (1995-2012),"Siberie 11: Bear songs, harps and lyres from the Banks of the Ob River",11,"""Khanty Evi Jak"" - Dance of the Khanty maidens",yellow,-0.127810815,-0.041885727
560,d,a,b,,,1,0.5,e,d,0.5,0,0.5,0,e,0,0.5,0,,,,1,0,0,a,a,,,,0.75,0.4,0.5,0.666666667,1,1,1,0.25,0.666666667,0.75,0.75,0.5,0.25,2034,Track 12,Khanty,Lecomte (1995-2012),"Siberie 11: Bear songs, harps and lyres from the Banks of the Ob River",12,"""Adki varakh"" - The raven's mother",yellow,-0.090439434,0.028656314
561,d,c,c,a,0,1,0,e,e,0.5,0,0.5,0.5,ce,0.5,0,0,,,,1,0,0,a,a,,,,0.5,0.6,0.5,1,0.666666667,1,0.5,0.5,0.333333333,0.5,0.5,0.5,0.25,2209,Track 19,Khanty,Lecomte (1995-2012),"Siberie 11: Bear songs, harps and lyres from the Banks of the Ob River",19,"""The little girl Zoja"" (lullaby)",yellow,-0.088266773,-0.029336313
562,d,a,c,a,0,1,0.5,e,e,1,0.5,0.5,0.5,ef,1,0,0,,,,0.5,0,0,a,a,,,,0.5,0.6,0.75,1,0.666666667,0.5,0.5,0.75,0.333333333,0.5,0.25,0.5,0.5,2092,Track 20,Khanty,Lecomte (1995-2012),"Siberie 11: Bear songs, harps and lyres from the Banks of the Ob River",20,The beauty of one's native land,blue,-0.063780639,-0.073389309
563,b,,,,,0.5,0.5,e,d,1,0.5,1,0.5,ec,0,0,0,,,,0.5,0.5,0.5,a,a,,,,0.75,0.4,0.75,0.333333333,0.666666667,1,1,0.5,0.333333333,0.5,0.5,0.75,0.25,2055,Track 21,Mansi,Lecomte (1995-2012),"Siberie 11: Bear songs, harps and lyres from the Banks of the Ob River",21,"The small village of Khoryngpavyl, which has three streets",green,0.089555179,0.042256242
564,ab,,,,,0.5,0.5,e,e,0.5,0,0.5,1,e,0,0,0,,,,0.5,0.5,0.5,a,a,,,,0.75,0.4,0.5,0.333333333,0.666666667,1,1,0.5,0.333333333,0.5,0.5,0.5,0.5,2145,Track 22,Mansi,Lecomte (1995-2012),"Siberie 11: Bear songs, harps and lyres from the Banks of the Ob River",22,Now she has gone,green,0.085405071,0.022129483
565,b,,,,,0.5,0.5,e,a,0.5,0,1,1,fe,0.5,0,0,,,,0,0.5,0.5,a,a,,,,0.75,0.4,0.75,0.666666667,0.666666667,1,1,0.75,0,0.25,0.25,0.75,0.75,2188,Track 23,Mansi,Lecomte (1995-2012),"Siberie 11: Bear songs, harps and lyres from the Banks of the Ob River",23,A song about the Ljapin River,purple,0.115324487,0.012272018
566,b,,,,,0.5,0.5,e,a,0.5,0,0.5,0,cf,0.5,0,0,,,,0.5,0.5,0.5,a,a,,,,0.5,0.6,0.5,0.666666667,0.333333333,1,1,0.75,0.333333333,0.5,0.25,0.75,0.5,2216,Track 24,Mansi,Lecomte (1995-2012),"Siberie 11: Bear songs, harps and lyres from the Banks of the Ob River",24,Big white boat,green,0.081994835,0.066670908
567,bd,a,c,a,0,1,0,e,a,0,0,0.5,0,f,0,0,0,,,,1,0,0,a,a,,,,0.75,0.6,0.5,0.666666667,0.666666667,1,1,0.5,0.333333333,0.5,0.5,0.5,0.5,2117,Track 25,Mansi,Lecomte (1995-2012),"Siberie 11: Bear songs, harps and lyres from the Banks of the Ob River",25,"""Young maid from Sos'va, young maid from the banks of the Sos'va River""",yellow,-0.118255,0.056051259
568,d,a,c,a,0,1,0.5,e,e,1,0.5,0.5,0.5,ef,0.5,0,0,,,,0.5,0,0,a,a,,,,0.5,0.6,0.75,0.666666667,1,1,1,0.5,0.333333333,0.5,0.25,0.5,0.25,2093,Track 26,Mansi,Lecomte (1995-2012),"Siberie 11: Bear songs, harps and lyres from the Banks of the Ob River",26,Men enjoying a sunny summer day,blue,-0.074028665,-0.072048516
569,d,a,b,,,1,0.5,e,d,0.5,0.5,0.5,0.5,ce,0,0,0,,,,0.5,0.5,0,a,a,,,,1,0.4,0.75,0.333333333,0.666666667,1,1,0.5,0.333333333,0.5,0.5,0.75,0.25,2210,Track 30,Khanty,Lecomte (1995-2012),"Siberie 11: Bear songs, harps and lyres from the Banks of the Ob River",30,"""Aj longhan'ecup""",yellow,-0.0221571,0.007204877
570,d,b,b,,,1,0.5,e,d,1,0.5,0.5,0.5,ce,0,0,0,,,,0.5,0,0,a,a,,,,1,0.4,0.5,0.666666667,1,1,1,0.25,0.666666667,0.75,0.75,0.5,0.25,2195,Track 31,Khanty,Lecomte (1995-2012),"Siberie 11: Bear songs, harps and lyres from the Banks of the Ob River",31,"""Ma pilyem"" - My better half",yellow,-0.044728681,0.012222876
571,d,a,c,b,0,1,0.5,e,d,1,0.5,1,0.5,fd,0,0,0,,,,0.5,0,0,a,a,,,,0.75,0.6,0.5,0.666666667,1,0,1,0.5,0.666666667,0.5,0.5,0.25,0.25,2098,Track 32,Mansi,Lecomte (1995-2012),"Siberie 11: Bear songs, harps and lyres from the Banks of the Ob River",32,"""Urpung oika""",yellow,-0.097965255,-0.019739388
572,db,a,b,,,1,0.5,e,e,0.5,0,1,1,ef,0,1,0,,,,1,0,0,a,a,,,,0.75,0.8,0.5,0.666666667,1,1,0.5,0.5,0.333333333,0.5,0.5,0.25,0.5,2224,Qarja,Saami,Laade (1956),Lappish Joik Songs from Northern Norway,5,Qarja (the crow),yellow,-0.076513228,-0.003260544
573,db,a,c,a,0,1,0.5,e,a,0.5,0,0.5,0,fb,0,1,0,,,,0.5,0,0,a,a,,,,0.75,0.8,0.25,1,1,0.5,1,0.5,0.333333333,0.75,0.5,0.25,0.5,2036,Ravdul Johan - Johan Rasmussen Ulzi,Saami,Laade (1956),Lappish Joik Songs from Northern Norway,6,Ravdul Johan (Johan Rasmussen Ulzi),yellow,-0.114127866,0.036083078
574,db,c,b,,,1,0.5,e,d,0,0,0.5,0.5,fe,0,1,0,,,,1,0,0,a,a,,,,0.75,0.8,0.25,1,1,0.5,0.5,0.5,0.333333333,0.5,0.25,0.25,0.5,2220,Eira A_lak,Saami,Laade (1956),Lappish Joik Songs from Northern Norway,7,Eira A_lak,yellow,-0.055727659,0.090513924
575,d,a,c,a,0,1,0,ea,e,1,0,0.5,1,e,0,1,0,,,,1,0.5,0,a,a,,,,0.75,0.6,0.5,1,1,0.5,1,0.5,0.333333333,0.75,0.5,0.5,0.5,2069,Åmot Jovven,Saami,Laade (1956),Lappish Joik Songs from Northern Norway,11,Åmot Jovven,red,-0.155610506,-0.020208163
576,db,c,c,b,0,1,0.5,e,e,0.5,0,1,0.5,fe,0,1,0,,,,1,0.5,0,a,a,,,,0.75,0.6,0.5,1,1,0.5,0.5,0.5,0.666666667,0.5,0.5,0.25,0.5,2139,Joh_s Kirste,Saami,Laade (1956),Lappish Joik Songs from Northern Norway,12,Joh‡s Kirste,yellow,-0.059143871,0.008775262
577,b,,,,,1,0.5,e,e,0.5,0,0.5,0.5,fe,0,1,0,,,,0.5,0.5,0,a,a,,,,0.75,0.8,0.5,0.666666667,1,1,1,0.5,0.333333333,0.75,0.5,0.75,0.5,2057,Joh_s Kirste Biret Kirste,Saami,Laade (1956),Lappish Joik Songs from Northern Norway,16,Joh‡s Kirste Biret Kirste,yellow,-0.008086937,0.030601745
578,db,a,c,a,0,1,0.5,e,a,0.5,0,1,0.5,ef,0,1,0,,,,0.5,0,0,a,a,,,,0.75,0.6,0.25,0.666666667,1,0.5,1,0.5,0.333333333,0.5,0.5,0.5,0.5,2066,Haik' Inga,Saami,Laade (1956),Lappish Joik Songs from Northern Norway,17,Haik' Inga,yellow,-0.079310259,-0.001152242
579,b,,,,,0.5,0,e,e,0,0,1,1,f,0,1,0,,,,0.5,0.5,0.5,a,a,,,,0.75,0.8,0.25,0.666666667,1,0.5,1,0.5,0.666666667,0.5,0.5,0.5,0.5,2186,Ailen Ailen,Saami,Laade (1956),Lappish Joik Songs from Northern Norway,18,Ailen Ailen,green,0.022450436,0.062518762
580,d,b,c,a,0,1,0.5,e,a,0.5,0,1,0.5,f,0,0.5,0,,,,0.5,0,0,a,a,,,,0.75,0.8,0.25,0.666666667,1,0.5,0.5,0.5,0.333333333,0.5,0.5,0.25,0.5,2226,Anne Jovna,Saami,Laade (1956),Lappish Joik Songs from Northern Norway,19,Anne Jovna,yellow,-0.071019784,-0.006032375
581,d,a,c,a,0,1,0,e,e,0.5,0,1,1,ef,0,1,0,,,,1,0.5,0,a,a,,,,0.75,0.6,0.5,1,1,1,1,0.25,0.333333333,0.75,0.75,0.25,0.5,2132,Hanas Ande,Saami,Laade (1956),Lappish Joik Songs from Northern Norway,20,Hanas Ande,red,-0.146245329,-0.0544075
582,d,b,c,a,0,1,0.5,e,e,0.5,0,0.5,0.5,be,0,1,0,,,,0.5,0,0,a,a,,,,1,0.4,0.5,0.666666667,1,0.5,1,0.5,0.666666667,0.75,0.5,0.5,0.5,2046,Benna Kirste,Saami,Laade (1956),Lappish Joik Songs from Northern Norway,22,Benna Kirste,yellow,-0.104882689,0.011601853
583,b,,,,,0.5,0.5,e,a,0.5,0,0.5,0,df,0,1,0,,,,1,0.5,0.5,a,a,,,,0.75,0.6,0.5,0.333333333,1,1,1,0.5,0.333333333,0.5,0.5,0.5,0.75,2160,Thuri Nilsen Turi Masi,Saami,Laade (1956),Lappish Joik Songs from Northern Norway,24,Thuri Nilsen Turi Masi,green,0.02231144,0.089608235
584,d,a,b,,,1,0.5,e,a,0.5,0,0.5,0.5,ef,0,1,0,,,,0.5,0,0,a,a,,,,0.75,0.6,0.5,0.666666667,0.666666667,1,1,0.25,0.333333333,0.5,0.5,0.5,0.5,2070,A Song for the Different Lappish Communities,Saami,Laade (1956),Lappish Joik Songs from Northern Norway,26,A Song for the Different Lappish Communities,yellow,-0.065682211,0.003816549
585,d,b,c,a,0,1,0,e,e,0.5,0,1,1,f,0,1,0,,,,0.5,0,0,a,a,,,,0.75,0.6,0.5,1,1,1,1,0.5,0.666666667,0.75,0.5,0.5,0.5,2204,Markel Joavna Piera,Saami,Laade (1956),Lappish Joik Songs from Northern Norway,27,Markel Joavna Piera,yellow,-0.129526724,-0.018121646
586,b,,,,,1,0,e,e,0.5,0,1,0.5,fe,0,0.5,0,,,,1,0,0,a,a,,,,0.75,0.8,0.5,0.666666667,1,1,1,0.5,0.333333333,0.5,0.5,0.25,0.5,2124,The Havka - Pike,Saami,Laade (1956),Lappish Joik Songs from Northern Norway,28,Havka (the pike),yellow,-0.070568435,0.036906102
587,d,a,b,,,1,0.5,e,d,0.5,0,0.5,0.5,fd,0,1,0,,,,1,0,0,a,a,,,,1,0.8,0.5,0.666666667,1,1,1,0.75,0.333333333,0.75,0.5,0.5,0.5,2119,Joik for the Cow,Saami,Laade (1956),Lappish Joik Songs from Northern Norway,29,Joik for the Cow,yellow,-0.104407547,0.036334569
588,d,a,c,b,0,1,0.5,e,e,0.5,0,1,0.5,fe,0,0.5,0,,,,1,0,0,a,a,,,,0.75,0.6,0.5,0.666666667,1,1,1,0.5,0.333333333,0.75,0.5,0.25,0.5,2146,Kajohande,Saami,Laade (1956),Lappish Joik Songs from Northern Norway,31,Kajohande,yellow,-0.111565189,-0.022881934
589,b,,,,,1,0,e,a,0.5,0,1,1,f,0,1,0,,,,1,0.5,0,a,a,,,,0.75,0.8,0.25,1,1,1,0.5,0.25,0.666666667,0.5,0.5,0.25,0.5,2142,Malen Inga Benna,Saami,Laade (1956),Lappish Joik Songs from Northern Norway,35,Malen Inga Benna,yellow,-0.052177184,0.025289865
590,d,a,c,a,0,1,0.5,e,e,1,0.5,0.5,0.5,e,0,1,0,,,,1,0.5,0,a,a,,,,1,0.6,0.75,1,1,1,1,0.5,0.333333333,0.5,0.5,0.5,0.5,2228,Mana Gallaka Noukat,Saami,Laade (1956),Lappish Joik Songs from Northern Norway,36,Mana gallaka noukat,red,-0.139878825,-0.035405885
