Song No.,1.Meter,2.No of beats,3.Beat sub-division ,4. No. of sub-beats,5.Syncopation,6.Motivic redundancy ,7.Durational variability ,8.Tonality,9. Mode,10.No. of scale degrees ,11.Hemitonicity ,12.Maximum interval size ,13.Melodic range ,14.Melodic contour ,15.Melisma ,16.Vocables,17. Number of vocal parts ,18.Rhythmic texture ,19.Harmonic interval ,20.Relative contour ,21.Phrase repetition ,22.Phrase length,23.Phrase symmetry,24.Solo/group arrangement ,25.Responsorial relationship ,26. Phrase overlap,(Cantometrics#)5. Tonal blend,6. Rhythmic blend,23. Embellishment,24. Tempo,25. Volume,26. Rubato,28. Glissando,30. Tremolo,31. Glottal shake,32. Register,33.  Vocal width,34. Nasality,35. Rasp,36. Accent,37. Enunciation,CantoCore ID No.,Other comment,Population Name,Recording source,Album Name,Track No.,Song name,Cantogroup,MDS coordinate dimension 1,MDS coordinate dimension 2
54,a,,,,,0,0.5,a,,,,0,0,ac,0,0,0,,,,0,0,0.5,a,a,,,,1,0.6,0.75,,0.333333333,1,1,0.5,0.333333333,0.75,0.5,0.75,0.25,2255,,Ainu (Sakhalin),NHK (1951),________,31.2,_____ Tuitak ____,green,0.057621921,0.215212422
55,b,,,,,0.5,0.5,ea,a,0.5,0,0.5,0,fe,0,1,0,,,,0,0.5,0.5,a,a,,,,0.25,0.8,0.5,0.33,0.333333333,1,0,0.5,0.333333333,0.75,0.25,0.5,0.75,2256,,Ainu (Sakhalin),NHK (1951),________,33.1,___ Tus ____,green,0.081757734,0.134872093
56,d,a,c,a,0.5,1,0,ab,,,,0.5,0,fa,0,1,0.5,b,,b,1,0,0,a,c,1,0.75,0.8,0.75,0.8,0.5,1,0.333333333,1,1,0.25,0,0.25,0.25,0.25,1,2257,,Ainu (Sakhalin),NHK (1951),________,34.1b,_____ Rekuxkara ______,red,-0.298948644,0.030921955
57,d,a,c,a,0,1,0,ea,a,0,0,0.5,0,f,0,1,1,b,,b,1,0,0,a,c,1,0.5,0.8,0.75,0.6,0.5,1,0.666666667,1,0.5,0.5,0.333333333,0.5,0,0.25,1,2258,,Ainu (Sakhalin),NHK (1951),________,34.2b,___ Hechiri _____,red,-0.247188195,0.043711831
58,b,,,,,0.5,0.5,e,d,0.5,0,0.5,0,fe,0,1,0,,,,0.5,0.5,0.5,a,a,,,,0.75,0.6,0.75,0.33,0.666666667,1,0.5,0.5,0.333333333,0.5,0.25,0.5,0.75,2259,,Ainu (Sakhalin),NHK (1951),________,35.1b,____ Ihumke _____,green,0.054451869,0.087242057
59,b,,,,,0.5,0,e,d,0,0,0.5,0,f,0,0.5,0,,,,0.5,0.5,0.5,a,a,,,,0.75,0.8,0.75,0.67,0.666666667,1,0.5,0.5,0.333333333,0.5,0.25,0.5,0.5,2260,,Ainu (Sakhalin),NHK (1951),________,35.1c,____ Ihumke _____,green,0.029218683,0.103959613
60,d,b,c,a,0,0.5,0.5,ea,a,0.5,0,0.5,0,fe,0,1,0,,,,0.5,0,0,a,a,,,,0.75,0.6,0.5,1,0.666666667,1,1,0.5,0.333333333,0.5,0.5,0.5,1,2262,,Ainu (Sakhalin),NHK (1951),________,37.2,________ Tonkori-hechiri _____,yellow,-0.07987495,0.04670242
61,b,,,,,1,0.5,e,d,0.5,0,0.5,0.5,ef,0.5,0,0,,,,1,1,0.5,a,a,,,,0.5,0.4,0.5,0.666666667,1,1,0.5,0.5,0.333333333,0.25,0.5,0.75,0.5,1340,_____,Japanese (Aomori),NHK (1944-1994),_________1___I,1,_____,purple,0.082106031,-0.018297948
62,a,,,,,0.5,1,e,d,0.5,0,0.5,0.5,e,1,0,0,,,,0.5,1,0.5,a,a,,,,0.25,,0.75,,1,0.5,0.5,0.25,0,0.5,0.5,0.75,0.25,1721,___,Japanese (Aomori),NHK (1944-1994),_________1___I,3,___,purple,0.216792613,-0.057675043
63,b,,,,,0.5,0.5,e,d,0.5,0,0.5,0.5,e,1,0,0,,,,0,0.5,0.5,a,a,,,,0.25,0.4,0.75,0.333333333,1,1,0.5,0.5,0,0.25,0.5,0.5,0.5,1404,___,Japanese (Aomori),NHK (1944-1994),_________1___I,4,___,purple,0.16332149,-0.008774639
64,d,a,c,a,0,0.5,0.5,e,d,0.5,0,0.5,0.5,bf,0.5,0,0,,,,0.5,1,0.5,a,a,,,,0.5,0.4,0.5,0.666666667,1,1,0.5,0.5,0.333333333,0.25,0.25,0.25,0.5,1364,___,Japanese (Aomori),NHK (1944-1994),_________1___I,5,___,blue,0.020379145,-0.059769217
65,d,a,c,b,0,0.5,1,e,d,0.5,0,0.5,1,ce,1,0.5,0,,,,0.5,1,1,a,ab,0,,,0.25,0.4,0.5,1,1,1,0.5,0.5,0,0.5,0.75,0.5,0.5,1330,_____,Japanese (Aomori),NHK (1944-1994),_________1___I,7,_____,purple,0.085871701,-0.15442239
